SBID,Ravenname,Gauged,Discharge,Stage,
1, DeepCreek,1,08NM153,,
2, NaswhitoCreek,0,,,
3, EquesisCreek,1,08NM161,,
4, OkanaganLakeLocalSouth,1,,,
5, OkanaganLakeLocalNorth,1,,,
6, WhitemanCreek,1,,,
7, WhitemanCreekaboveBouleauCreek,1,08NM174,,
8, ShortsCreek,1,,,
9, LamblyCreek,0,,,
10, McDougallCreek,1,,,
11, PowersCreek,1,08NM157,,
12, TrepanierCreek,1,08NM155,,
13, PeachlandCreek,1,08NM159,,
14, TroutCreek,1,08NM158,,
15, ShingleCreek,1,08NM150,,
16, EllisCreek,0,,,
17, NaramataCreek,1,,,
18, PentictonCreek,1,08NM118,,
19, McLeanCreek,1,,,
20, ShuttleworthCreek,1,,,
21, VaseuxCreekaboveSolcoCreek,1,08NM171,,
22, VaseuxCreek,1,08NM246,,
23, InkaneepCreek,1,08NM200,,
24, ColdstreamCreek,1,,,
25, ColdstreamCreekabovemunicipalintake,1,08NM142,,
26, BelgoCreekbelowHildaCreek,1,08NM232,,
27, MissionCreekabovePearsonCreek,1,08NM233,,
28, MissionCreek,1,,,
29, MissionCreeknearEastKelowna,1,08NM116,,
30, MillCreek,1,,,
31, ClarkCreeknearWinfield,1,08NM146,,
32, VernonCreekintoWoodLake,1,,,
33, VernonCreeknearthemouth,1,08NM160,,
34, OsoyoosLakeLocal,1,,,
35, ParkRill,1,,,
36, VaseuxLakeLocal,1,,,
37, SkahaLakeLocal,1,,,
38, OkanoganRiveratOrovilleWA,1,12439500,,
39, OsoyoosLake,1,,12439000,
40, SkahaLake,1,08NM002,08NM084,
41, OkanaganLake,1,08NM050,08NM083,check
42,WoodandKalamalkaLake,1,08NM065,08NM143,check
43, VaseuxLake,1,08NM247,08NM243,
44, VernonCreek,1,,,
45, EllisonLakeLocal,1,08NM182,08NM067,
46,WoodandKalamalkaLakeLocal,1,,,
47, BXCreekaboveVernonIntake,1,08NM020,,
48, OkanaganRiverbtwOkanaganandSkaha,1,,,
49, OkanaganRiverbtwSkahaandVaseux,1,,,
51, OkanaganRiverabvOsoyoos,1,,,
52, IdealLake,1,,08NM231,
53, SwanLakeLocal,1,,,
54, OtterLake,1,,,
55, CampCreek,1,08NM134,,
56, VernonCreekatoutletofSwalwellLake,1,08NM022,08NM062,
57, ShatfordCreek,1,08NM037,,
58, GreataCreek,1,08NM173,,
60, BellevueCreek,0,,,
61, EneasCreek,0,,,
62, UpperTroutCreek,0,,,
63,SwanLake,1,08NM123,08NM125,
64,OyamaLakeLocal,1,,08NM224,
65,BXCreek,1,,,
66,VernonCreekaboveEllisonLake,0,,,
67,OkanaganRivernearOliver,1,08NM085,,
